date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:11:59	44/44	---M--	200	added ('OK')	image/gif	date:Tue,%2022%20Oct%202019%2018:15:00%20GMT	http://ssl.gstatic.com/editor/bubble2_tr.gif	D:/git/vmkale.a4u.ac.in/a4u/ssl.gstatic.com/editor/bubble2_tr.gif	(from https://ssl.gstatic.com/sites/p/0bb9d3/system/app/css/trogedit.css)
12:12:03	13113/13113	---M--	200	added ('OK')	image/gif	date:Wed,%2004%20Nov%202020%2006:42:02%20GMT	https://sites.google.com/site/vmkale/_/rsrc/1603352043000/system/app/images/toolbar-check.gif	D:/git/vmkale.a4u.ac.in/a4u/sites.google.com/site/vmkale/_/rsrc/1603352043000/system/app/images/toolbar-check.gif	(from https://sites.google.com/site/vmkale/_/rsrc/1603352043000/system/app/css/editor.css)
12:12:07	259/259	---M--	200	added ('OK')	image/png	date:Wed,%2004%20Nov%202020%2006:42:06%20GMT	https://sites.google.com/site/vmkale/_/rsrc/1603352043000/system/app/images/icon-help-kennedy.png	D:/git/vmkale.a4u.ac.in/a4u/sites.google.com/site/vmkale/_/rsrc/1603352043000/system/app/images/icon-help-kennedy.png	(from https://sites.google.com/site/vmkale/_/rsrc/1603352043000/system/app/css/editor.css)
12:12:12	426/426	---MCZ	302	error ('Moved%20Temporarily')	text/html	date:Wed,%2004%20Nov%202020%2006:42:09%20GMT	https://sites.google.com/site/sites/system/app/images/icon_plusone.png	D:/git/vmkale.a4u.ac.in/a4u/sites.google.com/site/sites/system/app/images/icon_plusone.2f.delayed	(from https://sites.google.com/site/vmkale/_/rsrc/1603352043000/system/app/css/editor.css)
12:12:23	79173/79173	---MCZ	200	added ('OK')	text/html	date:Wed,%2004%20Nov%202020%2006:42:21%20GMT	https://accounts.google.com/ServiceLogin?service=jotspot&passive=1209600&continue=https://sites.google.com/site/sites/system/app/images/icon_plusone.png&followup=https://sites.google.com/site/sites/system/app/images/icon_plusone.png	D:/git/vmkale.a4u.ac.in/a4u/accounts.google.com/ServiceLoginc521.html	(from https://sites.google.com/site/vmkale/_/rsrc/1603352043000/system/app/css/editor.css)
12:12:29	420/420	---MCZ	302	error ('Moved%20Temporarily')	text/html	date:Wed,%2004%20Nov%202020%2006:42:25%20GMT	https://sites.google.com/site/sites/system/app/images/plusbadge.png	D:/git/vmkale.a4u.ac.in/a4u/sites.google.com/site/sites/system/app/images/plusbadge.31.delayed	(from https://sites.google.com/site/vmkale/_/rsrc/1603352043000/system/app/css/editor.css)
12:12:46	2846/2846	---M--	200	added ('OK')	image/png	date:Thu,%2003%20Oct%202019%2010:15:00%20GMT	https://ssl.gstatic.com/images/icons/gplus-64.png	D:/git/vmkale.a4u.ac.in/a4u/ssl.gstatic.com/images/icons/gplus-64.png	(from https://sites.google.com/site/vmkale/_/rsrc/1603352043000/system/app/css/editor.css)
12:12:52	1768/1768	---M--	200	added ('OK')	image/png	date:Thu,%2003%20Oct%202019%2010:15:00%20GMT	https://ssl.gstatic.com/images/icons/gplus-32.png	D:/git/vmkale.a4u.ac.in/a4u/ssl.gstatic.com/images/icons/gplus-32.png	(from https://sites.google.com/site/vmkale/_/rsrc/1603352043000/system/app/css/editor.css)
12:13:00	737/737	---M--	200	added ('OK')	image/png	date:Thu,%2003%20Oct%202019%2010:15:00%20GMT	https://ssl.gstatic.com/images/icons/gplus-16.png	D:/git/vmkale.a4u.ac.in/a4u/ssl.gstatic.com/images/icons/gplus-16.png	(from https://sites.google.com/site/vmkale/_/rsrc/1603352043000/system/app/css/editor.css)
12:13:01	105/105	---M--	200	added ('OK')	image/png	date:Tue,%2003%20Mar%202020%2020:15:00%20GMT	http://ssl.gstatic.com/ui/v1/menu/checkmark-partial.png	D:/git/vmkale.a4u.ac.in/a4u/ssl.gstatic.com/ui/v1/menu/checkmark-partial.png	(from https://ssl.gstatic.com/sites/p/0bb9d3/system/app/themes/microsport/standard-css-microsport-ltr-ltr.css)
12:13:11	3827/3827	---M--	200	added ('OK')	image/png	date:Wed,%2004%20Nov%202020%2006:43:08%20GMT	https://sites.google.com/site/vmkale/_/rsrc/1603352043000/system/app/images/camelot.png	D:/git/vmkale.a4u.ac.in/a4u/sites.google.com/site/vmkale/_/rsrc/1603352043000/system/app/images/camelot.png	(from https://sites.google.com/site/vmkale/_/rsrc/1603352043000/system/app/css/camelot/allthemes-view.css)
12:13:12	22478/22478	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2004%20Nov%202020%2006:43:12%20GMT	https://sites.google.com/site/vmkale/ug/goog_1422899689	D:/git/vmkale.a4u.ac.in/a4u/sites.google.com/site/vmkale/ug/goog_1422899689.38.delayed	(from https://sites.google.com/site/vmkale/ug/NMO)
12:13:19	34929/34929	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Oct%202020%2007:34:03%20GMT	https://sites.google.com/site/vmkale/home	D:/git/vmkale.a4u.ac.in/a4u/sites.google.com/site/vmkale/home	(from https://sites.google.com/site/vmkale/)
12:13:19	23411/23411	---MCZ	200	added ('OK')	text/html	etag:%221603352043000|#public|0|en|||0|-1808380672|338416608%22	https://sites.google.com/site/vmkale/ug	D:/git/vmkale.a4u.ac.in/a4u/sites.google.com/site/vmkale/ug.html	(from https://sites.google.com/site/vmkale/ug/NMO)
12:13:20	26182/26182	---MCZ	200	added ('OK')	text/html	etag:%221603352043000|#public|0|en|||0|-1808380672|338416608%22	https://sites.google.com/site/vmkale/ug/NMO/CONM-programs/cubicspline	D:/git/vmkale.a4u.ac.in/a4u/sites.google.com/site/vmkale/ug/NMO/CONM-programs/cubicspline.html	(from https://sites.google.com/site/vmkale/ug/NMO)
12:13:23	26735/26735	---MCZ	200	added ('OK')	text/html	etag:%221603352043000|#public|0|en|||0|-1808380672|338416608%22	https://sites.google.com/site/vmkale/ug/NMO/CONM-programs/doubleintegrationtrapezoidalandsimsons13rdmethod	D:/git/vmkale.a4u.ac.in/a4u/sites.google.com/site/vmkale/ug/NMO/CONM-programs/doubleintegrationtrapezoidalandsimsons13rdmethod.html	(from https://sites.google.com/site/vmkale/ug/NMO)
12:13:37	26088/26088	---MCZ	200	added ('OK')	text/html	etag:%221603352043000|#public|0|en|||0|-1808380672|338416608%22	https://sites.google.com/site/vmkale/ug/NMO/CONM-programs/gausselimination	D:/git/vmkale.a4u.ac.in/a4u/sites.google.com/site/vmkale/ug/NMO/CONM-programs/gausselimination.html	(from https://sites.google.com/site/vmkale/ug/NMO)
